snapshot_id,department_id,department_name,branch_id,snapshot_datetime,occupied_beds,total_beds,occupancy_rate
1,1,Cardiology,1,2025-08-01 08:00:00,0,37,0.0
2,2,Oncology,1,2025-08-01 08:00:00,0,20,0.0
3,3,Orthopedics,1,2025-08-01 08:00:00,0,37,0.0
4,4,Pediatrics,1,2025-08-01 08:00:00,0,30,0.0
5,5,Emergency,1,2025-08-01 08:00:00,0,62,0.0
6,6,General Medicine,1,2025-08-01 08:00:00,0,62,0.0
7,7,Cardiology,2,2025-08-01 08:00:00,0,30,0.0
8,8,Oncology,2,2025-08-01 08:00:00,1,16,6.25
9,9,Orthopedics,2,2025-08-01 08:00:00,0,30,0.0
10,10,Pediatrics,2,2025-08-01 08:00:00,0,24,0.0
11,11,Emergency,2,2025-08-01 08:00:00,0,50,0.0
12,12,General Medicine,2,2025-08-01 08:00:00,0,50,0.0
13,13,Cardiology,3,2025-08-01 08:00:00,0,27,0.0
14,14,Oncology,3,2025-08-01 08:00:00,0,14,0.0
15,15,Orthopedics,3,2025-08-01 08:00:00,0,27,0.0
16,16,Pediatrics,3,2025-08-01 08:00:00,0,21,0.0
17,17,Emergency,3,2025-08-01 08:00:00,0,45,0.0
18,18,General Medicine,3,2025-08-01 08:00:00,0,45,0.0
19,1,Cardiology,1,2025-08-02 08:00:00,0,37,0.0
20,2,Oncology,1,2025-08-02 08:00:00,1,20,5.0
21,3,Orthopedics,1,2025-08-02 08:00:00,1,37,2.7
22,4,Pediatrics,1,2025-08-02 08:00:00,0,30,0.0
23,5,Emergency,1,2025-08-02 08:00:00,2,62,3.23
24,6,General Medicine,1,2025-08-02 08:00:00,0,62,0.0
25,7,Cardiology,2,2025-08-02 08:00:00,0,30,0.0
26,8,Oncology,2,2025-08-02 08:00:00,2,16,12.5
27,9,Orthopedics,2,2025-08-02 08:00:00,3,30,10.0
28,10,Pediatrics,2,2025-08-02 08:00:00,0,24,0.0
29,11,Emergency,2,2025-08-02 08:00:00,0,50,0.0
30,12,General Medicine,2,2025-08-02 08:00:00,0,50,0.0
31,13,Cardiology,3,2025-08-02 08:00:00,0,27,0.0
32,14,Oncology,3,2025-08-02 08:00:00,1,14,7.14
33,15,Orthopedics,3,2025-08-02 08:00:00,0,27,0.0
34,16,Pediatrics,3,2025-08-02 08:00:00,0,21,0.0
35,17,Emergency,3,2025-08-02 08:00:00,0,45,0.0
36,18,General Medicine,3,2025-08-02 08:00:00,1,45,2.22
37,1,Cardiology,1,2025-08-03 08:00:00,2,37,5.41
38,2,Oncology,1,2025-08-03 08:00:00,2,20,10.0
39,3,Orthopedics,1,2025-08-03 08:00:00,4,37,10.81
40,4,Pediatrics,1,2025-08-03 08:00:00,1,30,3.33
41,5,Emergency,1,2025-08-03 08:00:00,4,62,6.45
42,6,General Medicine,1,2025-08-03 08:00:00,2,62,3.23
43,7,Cardiology,2,2025-08-03 08:00:00,1,30,3.33
44,8,Oncology,2,2025-08-03 08:00:00,5,16,31.25
45,9,Orthopedics,2,2025-08-03 08:00:00,3,30,10.0
46,10,Pediatrics,2,2025-08-03 08:00:00,0,24,0.0
47,11,Emergency,2,2025-08-03 08:00:00,0,50,0.0
48,12,General Medicine,2,2025-08-03 08:00:00,0,50,0.0
49,13,Cardiology,3,2025-08-03 08:00:00,3,27,11.11
50,14,Oncology,3,2025-08-03 08:00:00,2,14,14.29
51,15,Orthopedics,3,2025-08-03 08:00:00,0,27,0.0
52,16,Pediatrics,3,2025-08-03 08:00:00,0,21,0.0
53,17,Emergency,3,2025-08-03 08:00:00,0,45,0.0
54,18,General Medicine,3,2025-08-03 08:00:00,1,45,2.22
55,1,Cardiology,1,2025-08-04 08:00:00,3,37,8.11
56,2,Oncology,1,2025-08-04 08:00:00,4,20,20.0
57,3,Orthopedics,1,2025-08-04 08:00:00,5,37,13.51
58,4,Pediatrics,1,2025-08-04 08:00:00,4,30,13.33
59,5,Emergency,1,2025-08-04 08:00:00,2,62,3.23
60,6,General Medicine,1,2025-08-04 08:00:00,3,62,4.84
61,7,Cardiology,2,2025-08-04 08:00:00,1,30,3.33
62,8,Oncology,2,2025-08-04 08:00:00,7,16,43.75
63,9,Orthopedics,2,2025-08-04 08:00:00,4,30,13.33
64,10,Pediatrics,2,2025-08-04 08:00:00,1,24,4.17
65,11,Emergency,2,2025-08-04 08:00:00,0,50,0.0
66,12,General Medicine,2,2025-08-04 08:00:00,1,50,2.0
67,13,Cardiology,3,2025-08-04 08:00:00,5,27,18.52
68,14,Oncology,3,2025-08-04 08:00:00,2,14,14.29
69,15,Orthopedics,3,2025-08-04 08:00:00,1,27,3.7
70,16,Pediatrics,3,2025-08-04 08:00:00,3,21,14.29
71,17,Emergency,3,2025-08-04 08:00:00,0,45,0.0
72,18,General Medicine,3,2025-08-04 08:00:00,1,45,2.22
73,1,Cardiology,1,2025-08-05 08:00:00,4,37,10.81
74,2,Oncology,1,2025-08-05 08:00:00,4,20,20.0
75,3,Orthopedics,1,2025-08-05 08:00:00,5,37,13.51
76,4,Pediatrics,1,2025-08-05 08:00:00,4,30,13.33
77,5,Emergency,1,2025-08-05 08:00:00,1,62,1.61
78,6,General Medicine,1,2025-08-05 08:00:00,2,62,3.23
79,7,Cardiology,2,2025-08-05 08:00:00,3,30,10.0
80,8,Oncology,2,2025-08-05 08:00:00,8,16,50.0
81,9,Orthopedics,2,2025-08-05 08:00:00,5,30,16.67
82,10,Pediatrics,2,2025-08-05 08:00:00,1,24,4.17
83,11,Emergency,2,2025-08-05 08:00:00,0,50,0.0
84,12,General Medicine,2,2025-08-05 08:00:00,3,50,6.0
85,13,Cardiology,3,2025-08-05 08:00:00,9,27,33.33
86,14,Oncology,3,2025-08-05 08:00:00,3,14,21.43
87,15,Orthopedics,3,2025-08-05 08:00:00,1,27,3.7
88,16,Pediatrics,3,2025-08-05 08:00:00,3,21,14.29
89,17,Emergency,3,2025-08-05 08:00:00,0,45,0.0
90,18,General Medicine,3,2025-08-05 08:00:00,1,45,2.22
91,1,Cardiology,1,2025-08-06 08:00:00,6,37,16.22
92,2,Oncology,1,2025-08-06 08:00:00,5,20,25.0
93,3,Orthopedics,1,2025-08-06 08:00:00,3,37,8.11
94,4,Pediatrics,1,2025-08-06 08:00:00,5,30,16.67
95,5,Emergency,1,2025-08-06 08:00:00,0,62,0.0
96,6,General Medicine,1,2025-08-06 08:00:00,2,62,3.23
97,7,Cardiology,2,2025-08-06 08:00:00,6,30,20.0
98,8,Oncology,2,2025-08-06 08:00:00,9,16,56.25
99,9,Orthopedics,2,2025-08-06 08:00:00,4,30,13.33
100,10,Pediatrics,2,2025-08-06 08:00:00,1,24,4.17
101,11,Emergency,2,2025-08-06 08:00:00,2,50,4.0
102,12,General Medicine,2,2025-08-06 08:00:00,3,50,6.0
103,13,Cardiology,3,2025-08-06 08:00:00,10,27,37.04
104,14,Oncology,3,2025-08-06 08:00:00,4,14,28.57
105,15,Orthopedics,3,2025-08-06 08:00:00,1,27,3.7
106,16,Pediatrics,3,2025-08-06 08:00:00,4,21,19.05
107,17,Emergency,3,2025-08-06 08:00:00,0,45,0.0
108,18,General Medicine,3,2025-08-06 08:00:00,4,45,8.89
109,1,Cardiology,1,2025-08-07 08:00:00,6,37,16.22
110,2,Oncology,1,2025-08-07 08:00:00,6,20,30.0
111,3,Orthopedics,1,2025-08-07 08:00:00,2,37,5.41
112,4,Pediatrics,1,2025-08-07 08:00:00,6,30,20.0
113,5,Emergency,1,2025-08-07 08:00:00,0,62,0.0
114,6,General Medicine,1,2025-08-07 08:00:00,2,62,3.23
115,7,Cardiology,2,2025-08-07 08:00:00,9,30,30.0
116,8,Oncology,2,2025-08-07 08:00:00,10,16,62.5
117,9,Orthopedics,2,2025-08-07 08:00:00,3,30,10.0
118,10,Pediatrics,2,2025-08-07 08:00:00,3,24,12.5
119,11,Emergency,2,2025-08-07 08:00:00,3,50,6.0
120,12,General Medicine,2,2025-08-07 08:00:00,2,50,4.0
121,13,Cardiology,3,2025-08-07 08:00:00,10,27,37.04
122,14,Oncology,3,2025-08-07 08:00:00,5,14,35.71
123,15,Orthopedics,3,2025-08-07 08:00:00,2,27,7.41
124,16,Pediatrics,3,2025-08-07 08:00:00,4,21,19.05
125,17,Emergency,3,2025-08-07 08:00:00,0,45,0.0
126,18,General Medicine,3,2025-08-07 08:00:00,4,45,8.89
127,1,Cardiology,1,2025-08-08 08:00:00,4,37,10.81
128,2,Oncology,1,2025-08-08 08:00:00,7,20,35.0
129,3,Orthopedics,1,2025-08-08 08:00:00,2,37,5.41
130,4,Pediatrics,1,2025-08-08 08:00:00,4,30,13.33
131,5,Emergency,1,2025-08-08 08:00:00,0,62,0.0
132,6,General Medicine,1,2025-08-08 08:00:00,2,62,3.23
133,7,Cardiology,2,2025-08-08 08:00:00,9,30,30.0
134,8,Oncology,2,2025-08-08 08:00:00,9,16,56.25
135,9,Orthopedics,2,2025-08-08 08:00:00,3,30,10.0
136,10,Pediatrics,2,2025-08-08 08:00:00,2,24,8.33
137,11,Emergency,2,2025-08-08 08:00:00,1,50,2.0
138,12,General Medicine,2,2025-08-08 08:00:00,4,50,8.0
139,13,Cardiology,3,2025-08-08 08:00:00,9,27,33.33
140,14,Oncology,3,2025-08-08 08:00:00,4,14,28.57
141,15,Orthopedics,3,2025-08-08 08:00:00,3,27,11.11
142,16,Pediatrics,3,2025-08-08 08:00:00,5,21,23.81
143,17,Emergency,3,2025-08-08 08:00:00,1,45,2.22
144,18,General Medicine,3,2025-08-08 08:00:00,4,45,8.89
145,1,Cardiology,1,2025-08-09 08:00:00,6,37,16.22
146,2,Oncology,1,2025-08-09 08:00:00,6,20,30.0
147,3,Orthopedics,1,2025-08-09 08:00:00,1,37,2.7
148,4,Pediatrics,1,2025-08-09 08:00:00,4,30,13.33
149,5,Emergency,1,2025-08-09 08:00:00,2,62,3.23
150,6,General Medicine,1,2025-08-09 08:00:00,4,62,6.45
151,7,Cardiology,2,2025-08-09 08:00:00,10,30,33.33
152,8,Oncology,2,2025-08-09 08:00:00,10,16,62.5
153,9,Orthopedics,2,2025-08-09 08:00:00,2,30,6.67
154,10,Pediatrics,2,2025-08-09 08:00:00,2,24,8.33
155,11,Emergency,2,2025-08-09 08:00:00,0,50,0.0
156,12,General Medicine,2,2025-08-09 08:00:00,6,50,12.0
157,13,Cardiology,3,2025-08-09 08:00:00,11,27,40.74
158,14,Oncology,3,2025-08-09 08:00:00,5,14,35.71
159,15,Orthopedics,3,2025-08-09 08:00:00,3,27,11.11
160,16,Pediatrics,3,2025-08-09 08:00:00,6,21,28.57
161,17,Emergency,3,2025-08-09 08:00:00,4,45,8.89
162,18,General Medicine,3,2025-08-09 08:00:00,4,45,8.89
163,1,Cardiology,1,2025-08-10 08:00:00,5,37,13.51
164,2,Oncology,1,2025-08-10 08:00:00,6,20,30.0
165,3,Orthopedics,1,2025-08-10 08:00:00,4,37,10.81
166,4,Pediatrics,1,2025-08-10 08:00:00,6,30,20.0
167,5,Emergency,1,2025-08-10 08:00:00,2,62,3.23
168,6,General Medicine,1,2025-08-10 08:00:00,5,62,8.06
169,7,Cardiology,2,2025-08-10 08:00:00,10,30,33.33
170,8,Oncology,2,2025-08-10 08:00:00,7,16,43.75
171,9,Orthopedics,2,2025-08-10 08:00:00,2,30,6.67
172,10,Pediatrics,2,2025-08-10 08:00:00,2,24,8.33
173,11,Emergency,2,2025-08-10 08:00:00,0,50,0.0
174,12,General Medicine,2,2025-08-10 08:00:00,4,50,8.0
175,13,Cardiology,3,2025-08-10 08:00:00,11,27,40.74
176,14,Oncology,3,2025-08-10 08:00:00,6,14,42.86
177,15,Orthopedics,3,2025-08-10 08:00:00,3,27,11.11
178,16,Pediatrics,3,2025-08-10 08:00:00,5,21,23.81
179,17,Emergency,3,2025-08-10 08:00:00,5,45,11.11
180,18,General Medicine,3,2025-08-10 08:00:00,0,45,0.0
181,1,Cardiology,1,2025-08-11 08:00:00,5,37,13.51
182,2,Oncology,1,2025-08-11 08:00:00,7,20,35.0
183,3,Orthopedics,1,2025-08-11 08:00:00,3,37,8.11
184,4,Pediatrics,1,2025-08-11 08:00:00,6,30,20.0
185,5,Emergency,1,2025-08-11 08:00:00,2,62,3.23
186,6,General Medicine,1,2025-08-11 08:00:00,5,62,8.06
187,7,Cardiology,2,2025-08-11 08:00:00,10,30,33.33
188,8,Oncology,2,2025-08-11 08:00:00,6,16,37.5
189,9,Orthopedics,2,2025-08-11 08:00:00,2,30,6.67
